cryptocurrency,symbol,date,price_usd,market_cap,volume_24h,price_change_percent_24h,price_change_percent_7d,total_supply,circulating_supply
Bitcoin,BTC,2025-04-13 00:00:00,85305.09728392666,1693600655371.0874,22428929482.069122,0.0,0.0,19853284.0,19853284.0
Ethereum,ETH,2025-04-13 00:00:00,1645.8625733156498,198696438258.60336,11756571644.476357,0.0,0.0,120703159.4902972,120703159.4902972
Tether,USDT,2025-04-13 00:00:00,0.9998949278588121,144374132862.5354,43129361015.40482,0.0,0.0,144796521706.9247,144640112847.9336
XRP,XRP,2025-04-13 00:00:00,2.156688589695265,125823708133.3325,2972887951.415155,0.0,0.0,99986232255.0,58394167593.0
BNB,BNB,2025-04-13 00:00:00,596.9496743252538,87089917417.03128,481290566.3951808,0.0,0.0,145887575.79,145887575.79
Solana,SOL,2025-04-13 00:00:00,132.15438529607428,68213237375.70017,4651920909.779958,0.0,0.0,598877479.5914825,516600595.7969205
USDC,USDC,2025-04-13 00:00:00,0.9999731260908817,60085387673.157455,5177606355.436683,0.0,0.0,60903888473.28612,60899158217.32691
Dogecoin,DOGE,2025-04-13 00:00:00,0.1676649778139498,24955320227.91173,878035311.5158367,0.0,0.0,148911716383.7052,148897266383.7052
TRON,TRX,2025-04-13 00:00:00,0.2462992201503765,23391551977.100582,708805541.4739335,0.0,0.0,94949549864.75703,94948951498.8779
Cardano,ADA,2025-04-13 00:00:00,0.658135992436163,23694035438.31094,658708096.7725409,0.0,0.0,45000000000.0,36010655200.17876
Lido Staked Ether,STETH,2025-04-13 00:00:00,1646.0506506881852,15355356315.152258,19553819.167772204,0.0,0.0,9289382.375387471,9289382.375387471
Wrapped Bitcoin,WBTC,2025-04-13 00:00:00,85185.45501473919,10982378318.104782,279155866.65544224,0.0,0.0,128814.95633878,128814.95633878
LEO Token,LEO,2025-04-13 00:00:00,9.34110377485474,8625787344.039015,2808664.409990686,0.0,0.0,985239504.0,923663987.9
Chainlink,LINK,2025-04-13 00:00:00,13.15409100876008,8395139675.478573,321928504.88356286,0.0,0.0,1000000000.0,638099971.4505637
Avalanche,AVAX,2025-04-13 00:00:00,20.467869073949146,8511018036.437796,341383099.4066005,0.0,0.0,452713670.4285683,416044305.8511507
Stellar,XLM,2025-04-13 00:00:00,0.24615658014830216,7590831918.2617235,136286931.3118729,0.0,0.0,50001786892.81785,30824180511.85238
Toncoin,TON,2025-04-13 00:00:00,2.983060114088333,7391353014.582052,220940340.46778038,0.0,0.0,5127576094.771251,2509919738.378288
Shiba Inu,SHIB,2025-04-13 00:00:00,1.2535122203826666e-05,7386327520.507002,136154884.68690166,0.0,0.0,589504523006463.8,589250416347722.5
USDS,USDS,2025-04-13 00:00:00,1.0000059609417218,7157933886.494086,12723715.442167928,0.0,0.0,7192391610.004856,7192391610.004856
Hedera,HBAR,2025-04-13 00:00:00,0.17736357649355647,7479770018.26527,240645543.87537098,0.0,0.0,50000000000.0,42228651561.95843
Sui,SUI,2025-04-13 00:00:00,2.349162115414722,7648542573.289723,1065986091.66852,0.0,0.0,10000000000.0,3249982900.458887
Wrapped stETH,WSTETH,2025-04-13 00:00:00,1973.7205434173427,7032725594.621584,14818725.685196215,0.0,0.0,3565961.29872003,3565961.29872003
Bitcoin Cash,BCH,2025-04-13 00:00:00,344.9752781069082,6850666303.484886,231575216.0810242,0.0,0.0,19858099.89665078,19858099.89665078
Hyperliquid,HYPE,2025-04-13 00:00:00,16.335032494342173,5457238489.56513,126925830.8959783,0.0,0.0,999990391.0,333928180.0
Litecoin,LTC,2025-04-13 00:00:00,78.6355543978562,5956375644.453023,324742960.39098483,0.0,0.0,75761783.23347135,75759570.73347135
Polkadot,DOT,2025-04-13 00:00:00,3.712469398070574,5656164602.021083,127892822.19230707,0.0,0.0,1522267060.0,1522267060.0
Bitget Token,BGB,2025-04-13 00:00:00,4.418461041838246,5303251404.145461,88592621.10486284,0.0,0.0,1169993089.2,1169993089.2
Binance Bridged USDT (BNB Smart Chain),BSC-USD,2025-04-13 00:00:00,1.00024672731535,5182731704.994575,190752684.57581666,0.0,0.0,5184994200.618545,5184994200.618545
Ethena USDe,USDE,2025-04-13 00:00:00,0.9997166169973164,5008722928.772008,57865380.72485508,0.0,0.0,4830197621.700232,4830197621.700232
Pi Network,PI,2025-04-13 00:00:00,0.7101230050048697,4870288704.026497,660110934.0090746,0.0,0.0,10636589627.46786,6913783257.854113
WETH,WETH,2025-04-13 00:00:00,1646.7382954146635,4566035454.980986,65778864.979232766,0.0,0.0,2768328.50769902,2768328.50769902
WhiteBIT Coin,WBT,2025-04-13 00:00:00,27.74083941948345,3997970437.3876295,16970218.19324452,0.0,0.0,327258822.0,144118517.10815412
Monero,XMR,2025-04-13 00:00:00,207.54121659156328,3829022466.317839,53507086.18157152,0.0,0.0,18446744.07370955,18446744.07370955
Wrapped eETH,WEETH,2025-04-13 00:00:00,1751.6741185418066,3662162253.103158,9343147.117445167,0.0,0.0,2039769.912583269,2039769.912583269
Coinbase Wrapped BTC,CBBTC,2025-04-13 00:00:00,85293.5078149824,3138961765.747118,226410682.11451396,0.0,0.0,38890.91588901,38890.91588901
Uniswap,UNI,2025-04-13 00:00:00,5.503853714871174,3305309735.3179073,120697212.04165882,0.0,0.0,1000000000.0,600483073.71
Dai,DAI,2025-04-13 00:00:00,1.000109221060707,3126326313.9918895,63225660.39938292,0.0,0.0,3167287406.131517,3167287406.131517
Pepe,PEPE,2025-04-13 00:00:00,7.4433543729371545e-06,3134880212.4467635,582017595.7281538,0.0,0.0,420690000000000.0,420690000000000.0
OKB,OKB,2025-04-13 00:00:00,53.680934063973154,3220856043.838389,9111277.716888998,0.0,0.0,235957685.3,60000000.0
Aptos,APT,2025-04-13 00:00:00,4.96475266680662,3007580454.178094,98851995.17385459,0.0,0.0,1148687920.20845,618031523.3269073
Gate,GT,2025-04-13 00:00:00,22.801719224920916,2802727441.5724263,9410718.584860295,0.0,0.0,300000000.0,122910587.76765741
Ondo,ONDO,2025-04-13 00:00:00,0.903831214448401,2856172924.7938786,206505416.3318348,0.0,0.0,10000000000.0,3159107529.0
NEAR Protocol,NEAR,2025-04-13 00:00:00,2.211380975764895,2656374294.6794133,147298986.27808893,0.0,0.0,1245808769.0,1206739138.0
sUSDS,SUSDS,2025-04-13 00:00:00,1.0472605705979332,2482485342.640238,7903779.772084355,0.0,0.0,2409725456.449248,2409725456.449248
Tokenize Xchange,TKX,2025-04-13 00:00:00,32.8695808039738,2629434954.8055167,11376649.440924577,0.0,0.0,100000000.0,79995999.05112354
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,2025-04-13 00:00:00,1.0,2445451622.099999,0.0,0.0,0.0,2471081667.259999,2471081667.259999
Bittensor,TAO,2025-04-13 00:00:00,254.51735605866202,2182088938.0405564,95355951.93632598,0.0,0.0,21000000.0,8609410.0
Ethereum Classic,ETC,2025-04-13 00:00:00,15.530472528451186,2353017663.277117,62574453.28606972,0.0,0.0,151578157.2271562,151577606.3791562
Internet Computer,ICP,2025-04-13 00:00:00,5.234439784484551,2541991135.3677907,51484189.003881335,0.0,0.0,532463201.4406572,485937801.5258975
Cronos,CRO,2025-04-13 00:00:00,0.0898896084995423,2467893329.9817367,25008149.13445095,0.0,0.0,97469912991.10217,27469912991.10217
